customer_id,loan_type_id,loan_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_end_date,default_flag
1,4,2732562,10.57,240,11385.67,2025-12-13,2045-08-30,False
8,5,1689023,15.19,48,35187.98,2021-03-11,2025-02-18,False
9,2,2321584,12.63,24,96732.67,2022-11-18,2024-11-07,False
10,2,4281734,12.86,24,178405.58,2019-03-25,2021-03-14,False
10,4,1921380,10.54,12,160115.0,2018-08-12,2019-08-07,False
6,4,783522,7.42,24,32646.75,2019-07-29,2021-07-18,False
10,1,1344467,7.96,180,7469.26,2016-08-06,2031-05-20,False
2,2,4705919,14.53,360,13072.0,2023-03-25,2052-10-18,False
9,3,4950645,8.53,36,137517.92,2019-01-05,2021-12-20,False
7,1,923560,14.58,180,5130.89,2026-02-17,2040-11-30,False
8,3,2411634,13.65,48,50242.38,2019-04-07,2023-03-17,False
1,1,1936006,8.02,240,8066.69,2019-10-12,2039-06-29,False
1,2,4060420,11.6,84,48338.33,2019-05-05,2026-03-29,False
9,5,4983564,7.26,60,83059.4,2016-12-11,2021-11-15,False
2,2,1591804,15.39,12,132650.33,2020-07-15,2021-07-10,False
1,3,1004863,10.3,48,20934.65,2024-02-15,2028-01-25,False
5,4,920254,9.74,60,15337.57,2023-02-04,2028-01-09,False
4,5,2780567,8.41,24,115856.96,2018-08-27,2020-08-16,False
10,1,1337173,13.42,48,27857.77,2025-12-04,2029-11-13,False
10,1,1758860,9.41,84,20938.81,2017-05-23,2024-04-16,False
1,5,1766155,8.46,240,7358.98,2020-09-14,2040-06-01,False
1,1,4599657,15.78,180,25553.65,2025-02-16,2039-11-30,False
1,4,3617604,8.4,120,30146.7,2021-06-07,2031-04-16,False
5,4,2175734,15.58,48,45327.79,2022-04-06,2026-03-16,False
7,3,2229503,7.25,84,26541.7,2025-06-26,2032-05-20,False
9,1,1526715,12.96,12,127226.25,2022-05-04,2023-04-29,False
2,2,1471945,11.25,360,4088.74,2025-09-23,2055-04-19,False
9,4,2051152,15.54,120,17092.93,2022-09-04,2032-07-13,False
1,1,2270904,12.37,180,12616.13,2024-09-22,2039-07-06,False
6,4,398291,13.98,60,6638.18,2023-05-03,2028-04-06,False
5,2,4527943,10.27,120,37732.86,2017-07-21,2027-05-30,False
3,5,2901300,13.96,180,16118.33,2018-03-23,2033-01-03,False
8,1,868851,8.9,240,3620.21,2021-08-08,2041-04-25,False
1,3,2397840,8.97,180,13321.33,2023-11-22,2038-09-04,False
1,3,2341130,10.1,180,13006.28,2020-10-18,2035-08-01,False
2,2,4320793,14.75,60,72013.22,2020-07-31,2025-07-05,False
4,3,3434086,7.36,120,28617.38,2023-12-11,2033-10-19,False
9,4,877411,12.65,60,14623.52,2025-03-28,2030-03-02,False
9,3,408674,13.16,180,2270.41,2024-11-23,2039-09-06,False
2,2,4165653,12.88,360,11571.26,2026-05-31,2055-12-25,False
6,4,1356288,11.56,120,11302.4,2020-10-28,2030-09-06,False
7,2,1538880,10.91,360,4274.67,2019-01-02,2048-07-28,False
10,1,724301,10.31,180,4023.89,2017-06-28,2032-04-10,False
1,2,3830226,9.59,360,10639.52,2026-06-17,2056-01-11,False
8,2,4484741,11.25,36,124576.14,2022-01-22,2025-01-06,False
5,4,3316786,7.23,12,276398.83,2019-04-21,2020-04-15,False
10,2,2087790,15.54,36,57994.17,2017-06-06,2020-05-21,False
3,4,3489221,9.67,60,58153.68,2021-03-07,2026-02-09,False
10,2,4026987,12.02,24,167791.12,2018-07-23,2020-07-12,True
1,4,221271,10.85,240,921.96,2017-05-13,2037-01-28,False
2,3,674219,13.03,48,14046.23,2020-03-24,2024-03-03,False
3,3,4057307,13.77,360,11270.3,2021-10-09,2051-05-05,False
6,4,2987817,9.51,120,24898.47,2025-06-04,2035-04-13,False
7,1,53445,15.82,60,890.75,2020-03-08,2025-02-10,False
8,4,3504499,10.94,60,58408.32,2026-03-02,2031-02-04,False
10,4,3062962,7.1,60,51049.37,2022-07-30,2027-07-04,False
7,1,1809653,9.43,36,50268.14,2022-03-06,2025-02-18,False
9,3,3828320,15.13,84,45575.24,2024-04-02,2031-02-25,False
4,5,2834701,12.17,48,59056.27,2016-09-17,2020-08-27,False
5,3,2695255,15.41,84,32086.37,2018-06-10,2025-05-04,False
5,2,3756960,12.71,240,15654.0,2024-08-03,2044-04-20,False
3,4,3376115,11.21,180,18756.19,2019-10-13,2034-07-26,False
3,3,2087764,14.99,360,5799.34,2025-06-08,2055-01-02,False
8,3,2564153,12.72,240,10683.97,2018-07-11,2038-03-28,False
6,5,306949,12.61,120,2557.91,2020-01-22,2029-11-30,False
5,1,4375828,13.5,120,36465.23,2017-04-01,2027-02-08,False
7,3,1235726,12.35,84,14711.02,2023-02-18,2030-01-12,False
7,2,1047878,8.64,360,2910.77,2018-04-09,2047-11-03,False
2,1,3966235,8.8,36,110173.19,2023-04-26,2026-04-10,False
9,5,4101982,13.38,180,22788.79,2019-01-29,2033-11-11,False
7,4,885467,11.44,84,10541.27,2024-08-11,2031-07-06,False
10,1,2498319,13.57,240,10409.66,2025-10-10,2045-06-27,False
3,5,633529,13.68,12,52794.08,2017-02-28,2018-02-23,False
6,5,185112,7.31,360,514.2,2024-01-28,2053-08-23,False
2,3,4449351,7.83,24,185389.62,2019-03-30,2021-03-19,False
9,3,906870,7.03,60,15114.5,2017-05-04,2022-04-08,True
3,5,470776,7.55,120,3923.13,2024-07-24,2034-06-02,False
6,4,2225911,7.83,180,12366.17,2017-04-20,2032-02-01,False
5,4,2002718,7.35,120,16689.32,2019-11-15,2029-09-23,False
1,4,903934,8.67,60,15065.57,2020-09-24,2025-08-29,False
3,5,3536672,15.08,36,98240.89,2019-03-07,2022-02-19,False
4,1,649334,12.67,36,18037.06,2018-02-08,2021-01-23,False
2,2,4993546,9.59,360,13870.96,2017-03-01,2046-09-25,False
7,3,4939651,13.91,84,58805.37,2018-11-18,2025-10-12,False
9,3,2693856,13.75,48,56122.0,2020-02-07,2024-01-17,False
2,4,4667361,15.29,180,25929.78,2018-01-13,2032-10-26,False
1,5,2812399,9.41,240,11718.33,2018-08-05,2038-04-22,False
9,4,4655287,14.28,36,129313.53,2020-10-12,2023-09-27,True
3,5,842388,7.15,360,2339.97,2017-08-21,2047-03-17,False
5,1,4479405,13.19,180,24885.58,2023-05-05,2038-02-15,False
4,1,3823090,8.03,24,159295.42,2017-02-16,2019-02-06,False
3,4,3654291,11.0,180,20301.62,2025-09-11,2040-06-24,False
5,4,4207748,9.26,24,175322.83,2023-10-03,2025-09-22,False
2,5,4582629,7.65,48,95471.44,2024-07-26,2028-07-05,True
4,4,449948,10.59,360,1249.86,2024-03-01,2053-09-25,False
1,3,2223864,12.34,84,26474.57,2022-05-07,2029-03-31,True
1,1,2689258,11.33,36,74701.61,2024-03-24,2027-03-09,False
5,4,860167,7.17,180,4778.71,2025-05-29,2040-03-11,False
2,5,2415790,12.38,36,67105.28,2019-10-21,2022-10-05,False
8,1,2107231,12.04,12,175602.58,2026-05-13,2027-05-08,False
6,3,169429,8.66,120,1411.91,2020-10-10,2030-08-19,False
4,3,4992763,9.42,12,416063.58,2023-08-10,2024-08-04,False
3,5,2518906,9.63,84,29986.98,2018-12-22,2025-11-15,False
8,1,3410574,8.19,84,40602.07,2020-01-19,2026-12-13,False
4,1,2757766,11.39,120,22981.38,2023-07-10,2033-05-18,True
3,1,4601597,14.75,36,127822.14,2017-10-26,2020-10-10,False
10,5,3345469,11.29,240,13939.45,2021-01-28,2040-10-15,False
5,4,4229035,12.87,36,117473.19,2023-04-27,2026-04-11,False
1,2,1787539,10.7,60,29792.32,2020-12-06,2025-11-10,True
7,2,1633112,13.74,48,34023.17,2018-02-11,2022-01-21,False
4,4,2772714,8.53,60,46211.9,2019-09-28,2024-09-01,False
8,2,4120690,14.65,120,34339.08,2020-05-16,2030-03-25,False
2,4,2950198,13.69,48,61462.46,2017-04-22,2021-04-01,False
3,5,4929826,11.86,12,410818.83,2023-02-22,2024-02-17,False
5,2,4382542,13.45,360,12173.73,2021-02-12,2050-09-08,False
9,1,4475457,14.49,240,18647.74,2016-07-19,2036-04-05,False
8,4,2424093,15.05,180,13467.18,2021-02-11,2035-11-25,False
4,2,2301856,9.73,360,6394.04,2021-09-05,2051-04-01,False
10,1,4492261,9.13,24,187177.54,2017-02-21,2019-02-11,False
3,2,1013403,12.0,36,28150.08,2016-12-11,2019-11-26,False
5,2,988219,9.57,60,16470.32,2025-12-31,2030-12-05,False
9,5,4467258,15.02,24,186135.75,2021-07-06,2023-06-26,False
9,5,1899116,13.75,240,7912.98,2020-06-12,2040-02-28,False
2,4,4522953,9.14,60,75382.55,2023-05-09,2028-04-12,False
9,2,4784733,7.98,180,26581.85,2016-08-31,2031-06-14,False
5,2,2096841,7.18,48,43684.19,2017-11-11,2021-10-21,False
2,4,498060,8.66,60,8301.0,2020-03-27,2025-03-01,False
4,1,2653013,7.98,36,73694.81,2021-07-27,2024-07-11,False
4,4,2604370,9.21,36,72343.61,2016-11-22,2019-11-07,False
10,4,771395,8.92,24,32141.46,2017-12-23,2019-12-13,False
1,5,2518288,14.01,240,10492.87,2026-06-16,2046-03-03,False
1,5,4075539,15.56,12,339628.25,2022-07-02,2023-06-27,False
8,2,1850611,7.45,180,10281.17,2022-01-05,2036-10-18,False
4,5,2624966,7.78,36,72915.72,2024-01-22,2027-01-06,False
8,2,3404626,13.86,84,40531.26,2017-01-27,2023-12-22,False
4,5,3505505,7.82,120,29212.54,2019-08-21,2029-06-29,False
7,5,2788842,7.46,48,58100.88,2017-12-04,2021-11-13,False
4,1,4367652,15.12,48,90992.75,2016-11-20,2020-10-30,True
2,2,3708473,12.95,60,61807.88,2022-07-01,2027-06-05,False
3,2,635643,9.43,240,2648.51,2025-12-03,2045-08-20,True
4,5,1021004,7.09,180,5672.24,2018-12-11,2033-09-23,False
1,3,4411936,14.63,60,73532.27,2019-03-16,2024-02-18,False
1,3,3575813,8.21,120,29798.44,2016-07-22,2026-05-31,False
5,3,4752043,7.29,84,56571.94,2016-09-24,2023-08-19,False
7,2,4347094,15.17,180,24150.52,2021-12-10,2036-09-22,False
8,1,2573126,10.95,36,71475.72,2025-02-17,2028-02-02,False
7,5,2487908,9.26,36,69108.56,2023-03-30,2026-03-14,False
10,3,318859,8.25,360,885.72,2019-06-21,2049-01-14,False
7,2,3442210,13.63,48,71712.71,2022-12-22,2026-12-01,True
4,5,2204560,7.98,24,91856.67,2023-01-01,2024-12-21,False
9,1,2426539,12.12,24,101105.79,2024-02-06,2026-01-26,False
9,2,2547348,9.47,24,106139.5,2019-10-29,2021-10-18,True
1,2,2804387,10.58,48,58424.73,2020-02-12,2024-01-22,False
10,5,4281232,7.54,12,356769.33,2019-03-29,2020-03-23,False
5,5,4878028,15.68,240,20325.12,2026-04-23,2046-01-08,False
3,3,3643737,13.32,180,20242.98,2025-11-07,2040-08-20,False
5,1,379231,7.98,48,7900.65,2021-02-08,2025-01-18,False
5,2,810865,10.34,12,67572.08,2017-09-29,2018-09-24,False
3,4,4891445,10.83,36,135873.47,2024-04-13,2027-03-29,False
1,1,522550,10.47,60,8709.17,2018-10-25,2023-09-29,False
10,2,460106,13.12,120,3834.22,2023-12-11,2033-10-19,False
4,5,475910,13.36,240,1982.96,2026-06-12,2046-02-27,False
10,3,580465,9.1,24,24186.04,2026-06-11,2028-05-31,False
1,3,1938079,9.19,84,23072.37,2025-01-30,2031-12-25,False
4,1,2981529,10.99,240,12423.04,2018-05-23,2038-02-07,False
7,3,3816313,13.87,84,45432.3,2021-08-14,2028-07-08,False
10,5,1496837,14.24,180,8315.76,2018-08-22,2033-06-04,False
4,3,2572314,14.29,180,14290.63,2018-05-24,2033-03-06,False
1,3,1329702,14.99,60,22161.7,2026-05-09,2031-04-13,False
1,4,429771,14.29,24,17907.12,2020-04-18,2022-04-08,False
7,2,1305744,15.74,240,5440.6,2017-04-20,2037-01-05,False
10,2,4814597,8.51,12,401216.42,2023-03-13,2024-03-07,False
9,1,3739652,11.06,36,103879.22,2024-04-19,2027-04-04,False
9,1,2368843,9.53,60,39480.72,2023-10-25,2028-09-28,False
4,5,2817522,9.39,360,7826.45,2022-06-24,2052-01-18,False
7,2,1302953,14.47,60,21715.88,2017-12-27,2022-12-01,False
7,1,1890129,15.44,12,157510.75,2017-09-06,2018-09-01,False
9,1,4737004,12.59,240,19737.52,2017-04-17,2037-01-02,False
7,5,1537835,8.86,60,25630.58,2024-01-05,2028-12-09,False
10,1,4591498,13.74,12,382624.83,2023-08-01,2024-07-26,False
4,3,1852052,8.01,12,154337.67,2016-11-03,2017-10-29,False
6,5,3701767,8.48,24,154240.29,2026-02-16,2028-02-06,False
3,1,2341466,15.87,48,48780.54,2019-02-15,2023-01-25,False
8,4,3053892,9.79,84,36355.86,2024-09-04,2031-07-30,False
10,3,2149772,10.8,24,89573.83,2018-04-23,2020-04-12,False
2,1,2541554,8.53,12,211796.17,2018-01-02,2018-12-28,False
5,3,4232813,15.36,48,88183.6,2021-07-01,2025-06-10,False
7,3,578553,12.38,24,24106.38,2018-02-15,2020-02-05,False
1,1,1547936,13.54,120,12899.47,2025-12-10,2035-10-19,False
3,2,3152594,11.07,48,65679.04,2026-02-21,2030-01-31,False
6,5,1074671,14.41,120,8955.59,2019-01-01,2028-11-09,False
1,3,390573,13.51,36,10849.25,2018-11-21,2021-11-05,False
2,1,935398,10.95,36,25983.28,2025-12-08,2028-11-22,False
10,3,1136695,8.98,60,18944.92,2026-06-10,2031-05-15,False
9,3,413572,9.03,36,11488.11,2018-12-30,2021-12-14,False
7,1,3571920,10.22,240,14883.0,2019-05-25,2039-02-09,False
2,3,3027333,12.53,24,126138.88,2022-08-05,2024-07-25,False
2,5,1873701,15.04,48,39035.44,2026-02-15,2030-01-25,False
7,1,1051746,11.11,240,4382.27,2022-12-15,2042-09-01,False
8,3,1863759,10.34,360,5177.11,2018-04-10,2047-11-04,False
10,3,2694599,12.1,12,224549.92,2024-09-27,2025-09-22,False
5,1,1748668,8.8,120,14572.23,2021-12-30,2031-11-08,False
7,3,1681113,8.8,12,140092.75,2018-06-22,2019-06-17,False
2,3,1120184,11.62,36,31116.22,2024-07-12,2027-06-27,False
6,4,3111126,7.93,48,64815.12,2021-04-16,2025-03-26,False
2,3,142080,14.29,180,789.33,2020-05-11,2035-02-22,False
9,1,331399,11.64,120,2761.66,2022-06-05,2032-04-13,False
3,4,2017762,13.04,360,5604.89,2020-05-24,2049-12-18,False
10,4,3034507,14.97,48,63218.9,2017-02-04,2021-01-14,False
7,1,3379871,10.96,84,40236.56,2016-09-28,2023-08-23,False
7,2,943446,12.77,84,11231.5,2020-04-29,2027-03-24,False
6,1,4507186,12.11,180,25039.92,2025-02-12,2039-11-26,False
6,3,2301389,14.82,12,191782.42,2018-06-04,2019-05-30,True
2,5,322905,9.19,84,3844.11,2025-10-28,2032-09-21,False
4,1,3659979,12.45,240,15249.91,2018-01-05,2037-09-22,False
5,3,3808289,8.31,120,31735.74,2018-08-17,2028-06-25,False
1,4,328615,11.84,84,3912.08,2024-06-26,2031-05-21,False
4,4,224649,15.22,36,6240.25,2017-05-21,2020-05-05,False
2,1,408278,10.19,12,34023.17,2024-08-19,2025-08-14,False
7,1,4895305,11.53,36,135980.69,2022-06-16,2025-05-31,False
2,2,1080539,12.31,48,22511.23,2025-03-09,2029-02-16,False
7,5,2113511,8.45,12,176125.92,2024-08-15,2025-08-10,False
1,3,3313956,14.17,84,39451.86,2019-12-18,2026-11-11,False
6,3,3231299,9.48,60,53854.98,2024-11-16,2029-10-21,False
3,1,2344809,14.9,360,6513.36,2017-04-23,2046-11-17,False
10,3,3162877,14.99,120,26357.31,2025-02-10,2034-12-20,False
8,4,3280641,12.55,60,54677.35,2020-11-08,2025-10-13,False
7,2,3556925,8.85,24,148205.21,2016-12-31,2018-12-21,False
2,4,2899970,8.49,48,60416.04,2025-06-09,2029-05-19,True
6,1,3862600,13.86,12,321883.33,2025-06-01,2026-05-27,False
6,4,2494922,14.16,48,51977.54,2018-04-26,2022-04-05,False
1,5,836952,8.23,240,3487.3,2019-08-18,2039-05-05,False
2,1,4873195,14.64,84,58014.23,2017-03-04,2024-01-27,False
3,4,1732209,15.07,60,28870.15,2026-05-04,2031-04-08,True
8,2,1562029,7.97,240,6508.45,2020-06-16,2040-03-03,False
2,3,878409,7.75,12,73200.75,2024-05-18,2025-05-13,False
8,5,333128,7.94,36,9253.56,2016-09-08,2019-08-24,False
9,2,4611774,16.0,12,384314.5,2018-06-09,2019-06-04,False
5,4,2586861,12.8,120,21557.17,2020-04-16,2030-02-23,False
10,5,1371216,7.31,60,22853.6,2022-09-30,2027-09-04,False
10,4,2090417,7.39,36,58067.14,2021-12-17,2024-12-01,False
9,5,2197821,12.22,120,18315.17,2018-07-18,2028-05-26,False
2,3,1917619,8.22,24,79900.79,2021-08-09,2023-07-30,False
9,2,4722729,8.91,24,196780.38,2018-04-07,2020-03-27,True
2,2,101950,11.73,180,566.39,2021-09-17,2036-06-30,False
8,5,4416469,9.94,180,24535.94,2021-09-08,2036-06-21,False
9,2,649390,12.38,48,13528.96,2023-12-12,2027-11-21,False
5,4,488603,11.59,84,5816.7,2019-10-08,2026-09-01,False
6,1,1513540,11.91,180,8408.56,2022-01-14,2036-10-27,False
1,4,3364101,13.87,60,56068.35,2018-01-01,2022-12-06,False
8,3,3832554,13.99,24,159689.75,2019-03-02,2021-02-19,False
1,4,2847289,12.31,24,118637.04,2022-05-04,2024-04-23,True
9,2,537288,12.56,120,4477.4,2019-02-10,2028-12-19,False
9,3,3232985,13.88,180,17961.03,2019-10-07,2034-07-20,True
6,2,2714132,14.58,180,15078.51,2023-09-17,2038-06-30,True
2,1,2797320,11.61,84,33301.43,2017-11-22,2024-10-16,False
1,3,3528184,12.21,180,19601.02,2017-12-28,2032-10-10,False
2,5,977695,12.87,240,4073.73,2021-11-10,2041-07-28,False
1,4,3650215,11.0,84,43454.94,2019-12-19,2026-11-12,True
3,2,4059355,8.39,48,84569.9,2021-11-06,2025-10-16,True
9,2,4580813,11.91,84,54533.49,2021-01-20,2027-12-15,False
1,5,3888676,8.34,48,81014.08,2019-02-04,2023-01-14,False
4,5,3448136,7.81,24,143672.33,2018-05-21,2020-05-10,False
5,2,2964420,15.94,48,61758.75,2024-01-18,2027-12-28,False
7,1,1207188,11.15,180,6706.6,2016-10-09,2031-07-23,False
10,3,355100,9.61,36,9863.89,2019-12-25,2022-12-09,False
3,4,4213665,12.85,84,50162.68,2025-05-02,2032-03-26,False
5,1,2240107,10.02,60,37335.12,2019-04-06,2024-03-10,False
3,4,1283167,12.24,48,26732.65,2024-07-14,2028-06-23,False
6,4,1057560,8.74,84,12590.0,2017-03-21,2024-02-13,False
1,2,1346813,7.44,48,28058.6,2025-09-23,2029-09-02,False
9,2,4925074,9.51,84,58631.83,2024-01-05,2030-11-29,False
10,2,2767792,8.89,48,57662.33,2022-06-18,2026-05-28,False
7,4,4859720,14.52,84,57853.81,2016-08-16,2023-07-11,False
10,5,767389,10.12,180,4263.27,2017-11-30,2032-09-12,False
10,1,4446240,9.97,360,12350.67,2024-12-16,2054-07-12,False
10,3,3506500,8.81,360,9740.28,2017-07-14,2047-02-07,False
1,4,3315174,9.43,48,69066.12,2023-09-26,2027-09-05,False
6,4,3626850,14.53,84,43176.79,2022-12-28,2029-11-21,False
10,5,4906841,7.85,120,40890.34,2019-02-20,2028-12-29,False
2,4,240857,8.91,60,4014.28,2019-10-22,2024-09-25,False
4,1,1549146,8.6,84,18442.21,2023-12-01,2030-10-25,False
4,1,1750315,8.22,360,4861.99,2019-07-27,2049-02-19,False
10,2,3339507,7.9,120,27829.22,2019-12-27,2029-11-04,False
8,3,3388846,14.44,240,14120.19,2021-01-09,2040-09-26,False
3,3,3964330,15.39,60,66072.17,2020-10-23,2025-09-27,False
4,2,4791636,15.32,120,39930.3,2020-03-14,2030-01-21,False
10,4,4131320,13.63,48,86069.17,2021-07-02,2025-06-11,False
6,3,1906055,15.0,48,39709.48,2023-04-24,2027-04-03,False
8,3,3014609,8.09,12,251217.42,2023-03-03,2024-02-26,False
5,1,4338873,11.66,48,90393.19,2020-12-02,2024-11-11,False
10,5,2247219,8.83,360,6242.27,2022-03-07,2051-10-01,False
4,5,1032718,8.45,60,17211.97,2016-12-20,2021-11-24,False
3,3,4851892,9.05,48,101081.08,2021-01-10,2024-12-20,False
5,1,4370531,11.84,36,121403.64,2020-08-06,2023-07-22,False
10,5,4442966,12.26,36,123415.72,2025-05-03,2028-04-17,False
8,2,4668300,8.56,360,12967.5,2019-06-30,2049-01-23,False
5,2,1518222,13.95,48,31629.62,2017-05-24,2021-05-03,False
10,5,475202,15.3,60,7920.03,2023-07-30,2028-07-03,False
10,4,4293066,12.77,180,23850.37,2018-01-29,2032-11-11,False
10,3,4993464,15.45,360,13870.73,2022-06-30,2052-01-24,False
3,1,2901924,13.21,60,48365.4,2018-07-15,2023-06-19,False
1,2,1235932,14.59,48,25748.58,2019-05-21,2023-04-30,True
7,4,2116619,15.25,24,88192.46,2024-07-15,2026-07-05,False
6,5,3767456,14.58,84,44850.67,2022-10-19,2029-09-12,False
1,2,879865,13.71,12,73322.08,2020-02-20,2021-02-14,False
6,2,4470704,7.49,12,372558.67,2025-04-25,2026-04-20,True
10,1,3246796,9.25,240,13528.32,2020-07-23,2040-04-09,False
4,1,2496462,11.18,12,208038.5,2023-05-15,2024-05-09,False
3,3,4417678,10.32,24,184069.92,2016-11-12,2018-11-02,False
6,1,3842571,15.49,180,21347.62,2024-06-07,2039-03-21,False
2,2,3035950,9.2,180,16866.39,2022-03-28,2037-01-08,False
7,5,188755,11.89,60,3145.92,2017-03-01,2022-02-03,False
6,4,1138773,12.48,240,4744.89,2021-01-02,2040-09-19,False
4,4,2064613,15.93,12,172051.08,2024-12-27,2025-12-22,False
10,1,3307988,10.62,180,18377.71,2017-05-04,2032-02-15,False
4,1,2449762,11.17,24,102073.42,2017-10-06,2019-09-26,False
3,2,731588,11.19,60,12193.13,2022-07-20,2027-06-24,False
7,5,796672,7.27,48,16597.33,2017-03-16,2021-02-23,False
8,2,802759,10.89,12,66896.58,2020-11-22,2021-11-17,False
9,1,3690105,12.75,60,61501.75,2026-05-24,2031-04-28,True
2,2,3441835,13.66,180,19121.31,2024-04-15,2039-01-27,False
9,3,4235462,13.85,180,23530.34,2026-04-15,2041-01-26,False
2,5,849713,13.41,12,70809.42,2021-05-30,2022-05-25,False
10,3,1734047,15.56,24,72251.96,2025-07-31,2027-07-21,False
4,5,4727254,7.2,180,26262.52,2023-04-08,2038-01-19,True
4,3,2508129,13.73,120,20901.08,2022-09-09,2032-07-18,False
7,5,4771053,15.65,60,79517.55,2022-01-08,2026-12-13,False
5,3,1007022,14.57,180,5594.57,2019-03-06,2033-12-17,False
1,3,1490318,11.81,24,62096.58,2018-08-24,2020-08-13,False
3,3,1783278,8.65,36,49535.5,2019-08-16,2022-07-31,False
6,1,2780237,10.26,36,77228.81,2022-04-14,2025-03-29,False
7,1,2860344,14.74,84,34051.71,2024-11-22,2031-10-17,False
9,5,705183,10.99,84,8395.04,2023-04-20,2030-03-14,False
7,4,4238597,13.37,24,176608.21,2023-06-15,2025-06-04,False
6,5,3680450,12.77,36,102234.72,2020-09-13,2023-08-29,False
10,3,557220,10.59,240,2321.75,2024-12-28,2044-09-14,False
2,5,2735148,15.27,240,11396.45,2018-02-28,2037-11-15,False
9,4,4370009,9.36,12,364167.42,2025-07-12,2026-07-07,False
3,4,2963300,12.47,48,61735.42,2020-02-05,2024-01-15,False
4,3,3690179,10.23,36,102504.97,2019-07-04,2022-06-18,False
10,2,3590024,11.91,12,299168.67,2017-10-23,2018-10-18,False
1,4,3371022,11.7,180,18727.9,2020-09-05,2035-06-19,False
8,3,2920837,13.93,48,60850.77,2017-11-15,2021-10-25,False
10,1,3013396,15.01,84,35873.76,2016-10-27,2023-09-21,False
1,1,3303136,9.99,180,18350.76,2021-04-06,2036-01-18,False
6,1,2804458,9.52,36,77901.61,2024-09-16,2027-09-01,False
7,2,4349378,8.39,360,12081.61,2020-03-24,2049-10-18,False
3,4,4446682,12.24,60,74111.37,2022-03-14,2027-02-16,False
5,2,2372398,7.36,180,13179.99,2023-06-02,2038-03-15,False
5,1,593939,13.4,24,24747.46,2017-04-10,2019-03-31,False
4,2,313528,15.95,180,1741.82,2021-02-23,2035-12-07,False
5,4,2371687,11.15,360,6588.02,2024-08-07,2054-03-03,False
1,5,4307837,9.79,360,11966.21,2022-05-10,2051-12-04,False
8,1,1238415,10.48,120,10320.12,2022-05-03,2032-03-11,False
6,2,1787232,8.35,12,148936.0,2017-09-26,2018-09-21,False
1,5,4361721,10.59,60,72695.35,2025-02-28,2030-02-02,False
5,3,2224035,12.68,360,6177.88,2021-05-25,2050-12-19,False
1,2,3039415,7.79,24,126642.29,2019-03-12,2021-03-01,False
7,5,1403505,9.84,12,116958.75,2022-11-14,2023-11-09,False
6,4,3855825,15.1,60,64263.75,2021-10-03,2026-09-07,False
3,5,3485427,15.41,84,41493.18,2020-06-21,2027-05-16,False
2,4,1968857,15.7,60,32814.28,2023-05-13,2028-04-16,False
2,4,4074083,9.91,84,48500.99,2023-11-22,2030-10-16,False
8,1,356601,11.75,240,1485.84,2017-03-04,2036-11-19,False
7,1,4147907,12.88,240,17282.95,2016-07-30,2036-04-16,False
6,2,1054414,9.78,84,12552.55,2021-01-31,2027-12-26,False
10,5,930371,11.85,84,11075.85,2017-11-20,2024-10-14,False
7,2,4239783,14.84,84,50473.61,2025-08-10,2032-07-04,False
5,2,3322311,8.77,360,9228.64,2018-03-06,2047-09-30,False
