merchant_name,merchant_category,city,state
BookMyShow 96,Entertainment,Chandigarh,Punjab
Apollo Pharmacy 97,Pharmacy,Kanpur,Uttar Pradesh
Apollo Hospital 98,Hospital,Ahmedabad,Gujarat
Spencer's 99,Supermarket,Kolkata,West Bengal
Pantaloons 100,Fashion,Hyderabad,Telangana
Bharat Petroleum 101,Fuel,Indore,Madhya Pradesh
KFC 102,Restaurant,Hyderabad,Telangana
MedPlus 103,Pharmacy,Bhopal,Madhya Pradesh
MakeMyTrip 104,Travel,Indore,Madhya Pradesh
Pizza Hut 105,Restaurant,Indore,Madhya Pradesh
MakeMyTrip 106,Travel,Chennai,Tamil Nadu
Water Supply 107,Utilities,Bengaluru,Karnataka
KFC 108,Restaurant,Kanpur,Uttar Pradesh
Bharat Petroleum 109,Fuel,Jaipur,Rajasthan
Barista 110,Cafe,Hyderabad,Telangana
Pantaloons 111,Fashion,Chennai,Tamil Nadu
Fortis 112,Hospital,Noida,Uttar Pradesh
Gas Agency 113,Utilities,Delhi,Delhi
Medanta 114,Hospital,Nagpur,Maharashtra
D-Mart 115,Supermarket,Noida,Uttar Pradesh
More 116,Supermarket,Surat,Gujarat
Starbucks 117,Cafe,Patna,Bihar
Starbucks 118,Cafe,Jaipur,Rajasthan
Apollo Pharmacy 119,Pharmacy,Lucknow,Uttar Pradesh
Ajio 120,Shopping,Jaipur,Rajasthan
Croma 121,Electronics,Jaipur,Rajasthan
HP Petrol Pump 122,Fuel,Delhi,Delhi
INOX 123,Entertainment,Bengaluru,Karnataka
Water Supply 124,Utilities,Hyderabad,Telangana
Barista 125,Cafe,Noida,Uttar Pradesh
Croma 126,Electronics,Gurgaon,Haryana
Shell 127,Fuel,Mumbai,Maharashtra
Zudio 128,Fashion,Delhi,Delhi
MedPlus 129,Pharmacy,Kanpur,Uttar Pradesh
D-Mart 130,Supermarket,Nagpur,Maharashtra
Big Bazaar 131,Supermarket,Chandigarh,Punjab
Max Fashion 132,Fashion,Kanpur,Uttar Pradesh
Water Supply 133,Utilities,Kochi,Kerala
Myntra 134,Shopping,Indore,Madhya Pradesh
Starbucks 135,Cafe,Ahmedabad,Gujarat
Reliance Digital 136,Electronics,Surat,Gujarat
Goibibo 137,Travel,Kolkata,West Bengal
Pantaloons 138,Fashion,Gurgaon,Haryana
HP Petrol Pump 139,Fuel,Bengaluru,Karnataka
Indian Oil 140,Fuel,Mumbai,Maharashtra
Yatra 141,Travel,Noida,Uttar Pradesh
Bharat Petroleum 142,Fuel,Patna,Bihar
Electricity Board 143,Utilities,Kanpur,Uttar Pradesh
MedPlus 144,Pharmacy,Nagpur,Maharashtra
Water Supply 145,Utilities,Bengaluru,Karnataka
Max Hospital 146,Hospital,Kanpur,Uttar Pradesh
Electricity Board 147,Utilities,Nagpur,Maharashtra
Apollo Pharmacy 148,Pharmacy,Surat,Gujarat
Amazon 149,Shopping,Mumbai,Maharashtra
Apollo Pharmacy 150,Pharmacy,Kochi,Kerala
Gas Agency 151,Utilities,Hyderabad,Telangana
Wellness Forever 152,Pharmacy,Patna,Bihar
Max Fashion 153,Fashion,Jaipur,Rajasthan
Gas Agency 154,Utilities,Kochi,Kerala
PVR 155,Entertainment,Noida,Uttar Pradesh
BookMyShow 156,Entertainment,Lucknow,Uttar Pradesh
Starbucks 157,Cafe,Bengaluru,Karnataka
Max Fashion 158,Fashion,Chennai,Tamil Nadu
Apollo Hospital 159,Hospital,Indore,Madhya Pradesh
MakeMyTrip 160,Travel,Surat,Gujarat
Apollo Hospital 161,Hospital,Surat,Gujarat
Reliance Digital 162,Electronics,Ahmedabad,Gujarat
Goibibo 163,Travel,Kolkata,West Bengal
BookMyShow 164,Entertainment,Kanpur,Uttar Pradesh
PVR 165,Entertainment,Bhopal,Madhya Pradesh
Croma 166,Electronics,Lucknow,Uttar Pradesh
Amazon 167,Shopping,Bhopal,Madhya Pradesh
Gas Agency 168,Utilities,Lucknow,Uttar Pradesh
Shell 169,Fuel,Noida,Uttar Pradesh
BookMyShow 170,Entertainment,Gurgaon,Haryana
Cafe Coffee Day 171,Cafe,Pune,Maharashtra
Bharat Petroleum 172,Fuel,Surat,Gujarat
D-Mart 173,Supermarket,Surat,Gujarat
Burger King 174,Restaurant,Kolkata,West Bengal
Starbucks 175,Cafe,Noida,Uttar Pradesh
Cafe Coffee Day 176,Cafe,Lucknow,Uttar Pradesh
Wellness Forever 177,Pharmacy,Surat,Gujarat
Ajio 178,Shopping,Chandigarh,Punjab
Gas Agency 179,Utilities,Noida,Uttar Pradesh
Burger King 180,Restaurant,Chandigarh,Punjab
Starbucks 181,Cafe,Gurgaon,Haryana
Electricity Board 182,Utilities,Mumbai,Maharashtra
Medanta 183,Hospital,Surat,Gujarat
Flipkart 184,Shopping,Mumbai,Maharashtra
Domino's 185,Restaurant,Kolkata,West Bengal
INOX 186,Entertainment,Jaipur,Rajasthan
Wellness Forever 187,Pharmacy,Ahmedabad,Gujarat
Goibibo 188,Travel,Kanpur,Uttar Pradesh
Max Hospital 189,Hospital,Nagpur,Maharashtra
Reliance Digital 190,Electronics,Jaipur,Rajasthan
McDonald's 191,Restaurant,Kolkata,West Bengal
Amazon 192,Shopping,Lucknow,Uttar Pradesh
Apollo Hospital 193,Hospital,Nagpur,Maharashtra
Gas Agency 194,Utilities,Noida,Uttar Pradesh
Myntra 195,Shopping,Bhopal,Madhya Pradesh
Barista 196,Cafe,Noida,Uttar Pradesh
Yatra 197,Travel,Lucknow,Uttar Pradesh
D-Mart 198,Supermarket,Surat,Gujarat
Burger King 199,Restaurant,Surat,Gujarat
HP Petrol Pump 200,Fuel,Jaipur,Rajasthan
D-Mart 201,Supermarket,Bengaluru,Karnataka
Medanta 202,Hospital,Nagpur,Maharashtra
Big Bazaar 203,Supermarket,Chandigarh,Punjab
PVR 204,Entertainment,Indore,Madhya Pradesh
Electricity Board 205,Utilities,Chandigarh,Punjab
Wellness Forever 206,Pharmacy,Kanpur,Uttar Pradesh
MedPlus 207,Pharmacy,Indore,Madhya Pradesh
Reliance Digital 208,Electronics,Hyderabad,Telangana
Barista 209,Cafe,Lucknow,Uttar Pradesh
Max Fashion 210,Fashion,Kolkata,West Bengal
HP Petrol Pump 211,Fuel,Indore,Madhya Pradesh
Cafe Coffee Day 212,Cafe,Noida,Uttar Pradesh
Lifestyle 213,Fashion,Surat,Gujarat
Vijay Sales 214,Electronics,Ahmedabad,Gujarat
Gas Agency 215,Utilities,Kolkata,West Bengal
MakeMyTrip 216,Travel,Lucknow,Uttar Pradesh
MedPlus 217,Pharmacy,Lucknow,Uttar Pradesh
Max Hospital 218,Hospital,Chandigarh,Punjab
Croma 219,Electronics,Surat,Gujarat
Goibibo 220,Travel,Kochi,Kerala
Ajio 221,Shopping,Lucknow,Uttar Pradesh
Medanta 222,Hospital,Mumbai,Maharashtra
Gas Agency 223,Utilities,Surat,Gujarat
Electricity Board 224,Utilities,Indore,Madhya Pradesh
Yatra 225,Travel,Nagpur,Maharashtra
Reliance Digital 226,Electronics,Hyderabad,Telangana
MakeMyTrip 227,Travel,Pune,Maharashtra
Electricity Board 228,Utilities,Bengaluru,Karnataka
Lifestyle 229,Fashion,Chennai,Tamil Nadu
Starbucks 230,Cafe,Kochi,Kerala
Gas Agency 231,Utilities,Noida,Uttar Pradesh
Max Fashion 232,Fashion,Lucknow,Uttar Pradesh
McDonald's 233,Restaurant,Hyderabad,Telangana
Reliance Digital 234,Electronics,Bhopal,Madhya Pradesh
Max Fashion 235,Fashion,Lucknow,Uttar Pradesh
Apollo Hospital 236,Hospital,Chandigarh,Punjab
Electricity Board 237,Utilities,Bengaluru,Karnataka
More 238,Supermarket,Chandigarh,Punjab
KFC 239,Restaurant,Mumbai,Maharashtra
IRCTC 240,Travel,Kochi,Kerala
Apollo Hospital 241,Hospital,Gurgaon,Haryana
Domino's 242,Restaurant,Nagpur,Maharashtra
Meesho 243,Shopping,Hyderabad,Telangana
Apollo Pharmacy 244,Pharmacy,Kanpur,Uttar Pradesh
Croma 245,Electronics,Bhopal,Madhya Pradesh
Barista 246,Cafe,Delhi,Delhi
Water Supply 247,Utilities,Delhi,Delhi
Gas Agency 248,Utilities,Kochi,Kerala
BookMyShow 249,Entertainment,Indore,Madhya Pradesh
Wellness Forever 250,Pharmacy,Noida,Uttar Pradesh
Domino's 251,Restaurant,Bhopal,Madhya Pradesh
Max Fashion 252,Fashion,Jaipur,Rajasthan
Electricity Board 253,Utilities,Surat,Gujarat
Spencer's 254,Supermarket,Surat,Gujarat
IRCTC 255,Travel,Hyderabad,Telangana
Apollo Pharmacy 256,Pharmacy,Surat,Gujarat
Reliance Fresh 257,Supermarket,Patna,Bihar
Barista 258,Cafe,Chandigarh,Punjab
Bharat Petroleum 259,Fuel,Kolkata,West Bengal
Pizza Hut 260,Restaurant,Gurgaon,Haryana
Spencer's 261,Supermarket,Indore,Madhya Pradesh
Burger King 262,Restaurant,Chandigarh,Punjab
Wellness Forever 263,Pharmacy,Chennai,Tamil Nadu
McDonald's 264,Restaurant,Chandigarh,Punjab
Croma 265,Electronics,Nagpur,Maharashtra
Amazon 266,Shopping,Gurgaon,Haryana
Yatra 267,Travel,Kolkata,West Bengal
Water Supply 268,Utilities,Lucknow,Uttar Pradesh
Fortis 269,Hospital,Bengaluru,Karnataka
Medanta 270,Hospital,Surat,Gujarat
Domino's 271,Restaurant,Delhi,Delhi
Vijay Sales 272,Electronics,Gurgaon,Haryana
Wellness Forever 273,Pharmacy,Gurgaon,Haryana
Gas Agency 274,Utilities,Gurgaon,Haryana
Fortis 275,Hospital,Bhopal,Madhya Pradesh
Reliance Fresh 276,Supermarket,Hyderabad,Telangana
IRCTC 277,Travel,Nagpur,Maharashtra
Apollo Hospital 278,Hospital,Lucknow,Uttar Pradesh
Medanta 279,Hospital,Chennai,Tamil Nadu
PVR 280,Entertainment,Nagpur,Maharashtra
HP Petrol Pump 281,Fuel,Bhopal,Madhya Pradesh
Domino's 282,Restaurant,Bhopal,Madhya Pradesh
PVR 283,Entertainment,Noida,Uttar Pradesh
Cafe Coffee Day 284,Cafe,Bhopal,Madhya Pradesh
Westside 285,Fashion,Noida,Uttar Pradesh
Yatra 286,Travel,Noida,Uttar Pradesh
KFC 287,Restaurant,Nagpur,Maharashtra
Flipkart 288,Shopping,Hyderabad,Telangana
Fortis 289,Hospital,Bengaluru,Karnataka
BookMyShow 290,Entertainment,Mumbai,Maharashtra
Croma 291,Electronics,Delhi,Delhi
Goibibo 292,Travel,Noida,Uttar Pradesh
BookMyShow 293,Entertainment,Delhi,Delhi
MedPlus 294,Pharmacy,Chandigarh,Punjab
Croma 295,Electronics,Bengaluru,Karnataka
Big Bazaar 296,Supermarket,Ahmedabad,Gujarat
Pantaloons 297,Fashion,Chandigarh,Punjab
Zudio 298,Fashion,Hyderabad,Telangana
BookMyShow 299,Entertainment,Bhopal,Madhya Pradesh
More 300,Supermarket,Chennai,Tamil Nadu
Apollo Hospital 301,Hospital,Lucknow,Uttar Pradesh
Barista 302,Cafe,Hyderabad,Telangana
Gas Agency 303,Utilities,Bhopal,Madhya Pradesh
MakeMyTrip 304,Travel,Mumbai,Maharashtra
Apollo Hospital 305,Hospital,Chandigarh,Punjab
Vijay Sales 306,Electronics,Mumbai,Maharashtra
Flipkart 307,Shopping,Lucknow,Uttar Pradesh
Electricity Board 308,Utilities,Chandigarh,Punjab
Big Bazaar 309,Supermarket,Surat,Gujarat
Croma 310,Electronics,Ahmedabad,Gujarat
MedPlus 311,Pharmacy,Lucknow,Uttar Pradesh
Gas Agency 312,Utilities,Jaipur,Rajasthan
Westside 313,Fashion,Nagpur,Maharashtra
Barista 314,Cafe,Bengaluru,Karnataka
Bharat Petroleum 315,Fuel,Patna,Bihar
Pantaloons 316,Fashion,Mumbai,Maharashtra
Barista 317,Cafe,Pune,Maharashtra
Fortis 318,Hospital,Bengaluru,Karnataka
Reliance Fresh 319,Supermarket,Hyderabad,Telangana
Goibibo 320,Travel,Gurgaon,Haryana
Max Fashion 321,Fashion,Kochi,Kerala
Wellness Forever 322,Pharmacy,Noida,Uttar Pradesh
Barista 323,Cafe,Surat,Gujarat
Meesho 324,Shopping,Hyderabad,Telangana
PVR 325,Entertainment,Chennai,Tamil Nadu
MedPlus 326,Pharmacy,Ahmedabad,Gujarat
KFC 327,Restaurant,Surat,Gujarat
HP Petrol Pump 328,Fuel,Indore,Madhya Pradesh
Barista 329,Cafe,Chennai,Tamil Nadu
Vijay Sales 330,Electronics,Lucknow,Uttar Pradesh
Cafe Coffee Day 331,Cafe,Patna,Bihar
Pantaloons 332,Fashion,Bhopal,Madhya Pradesh
Westside 333,Fashion,Patna,Bihar
Starbucks 334,Cafe,Noida,Uttar Pradesh
KFC 335,Restaurant,Chennai,Tamil Nadu
Water Supply 336,Utilities,Noida,Uttar Pradesh
Lifestyle 337,Fashion,Chandigarh,Punjab
Spencer's 338,Supermarket,Kochi,Kerala
Max Hospital 339,Hospital,Gurgaon,Haryana
IRCTC 340,Travel,Ahmedabad,Gujarat
Gas Agency 341,Utilities,Gurgaon,Haryana
IRCTC 342,Travel,Pune,Maharashtra
More 343,Supermarket,Lucknow,Uttar Pradesh
Max Fashion 344,Fashion,Bhopal,Madhya Pradesh
Croma 345,Electronics,Jaipur,Rajasthan
Yatra 346,Travel,Jaipur,Rajasthan
Barista 347,Cafe,Kanpur,Uttar Pradesh
IRCTC 348,Travel,Kolkata,West Bengal
Electricity Board 349,Utilities,Surat,Gujarat
MakeMyTrip 350,Travel,Hyderabad,Telangana
Barista 351,Cafe,Bhopal,Madhya Pradesh
Barista 352,Cafe,Lucknow,Uttar Pradesh
KFC 353,Restaurant,Lucknow,Uttar Pradesh
Reliance Fresh 354,Supermarket,Kochi,Kerala
Apollo Hospital 355,Hospital,Kanpur,Uttar Pradesh
Gas Agency 356,Utilities,Kochi,Kerala
PVR 357,Entertainment,Kochi,Kerala
Water Supply 358,Utilities,Gurgaon,Haryana
Croma 359,Electronics,Kochi,Kerala
Apollo Pharmacy 360,Pharmacy,Kochi,Kerala
Ajio 361,Shopping,Gurgaon,Haryana
BookMyShow 362,Entertainment,Noida,Uttar Pradesh
Domino's 363,Restaurant,Ahmedabad,Gujarat
Big Bazaar 364,Supermarket,Kolkata,West Bengal
PVR 365,Entertainment,Mumbai,Maharashtra
Croma 366,Electronics,Indore,Madhya Pradesh
Domino's 367,Restaurant,Jaipur,Rajasthan
Barista 368,Cafe,Bhopal,Madhya Pradesh
Max Fashion 369,Fashion,Kolkata,West Bengal
Apollo Pharmacy 370,Pharmacy,Hyderabad,Telangana
Indian Oil 371,Fuel,Chennai,Tamil Nadu
Electricity Board 372,Utilities,Lucknow,Uttar Pradesh
Starbucks 373,Cafe,Bhopal,Madhya Pradesh
Starbucks 374,Cafe,Kanpur,Uttar Pradesh
Domino's 375,Restaurant,Chennai,Tamil Nadu
Westside 376,Fashion,Delhi,Delhi
Wellness Forever 377,Pharmacy,Chennai,Tamil Nadu
IRCTC 378,Travel,Kolkata,West Bengal
More 379,Supermarket,Delhi,Delhi
Spencer's 380,Supermarket,Bhopal,Madhya Pradesh
Max Fashion 381,Fashion,Chennai,Tamil Nadu
Pantaloons 382,Fashion,Pune,Maharashtra
Barista 383,Cafe,Chennai,Tamil Nadu
Bharat Petroleum 384,Fuel,Pune,Maharashtra
Domino's 385,Restaurant,Gurgaon,Haryana
Reliance Digital 386,Electronics,Surat,Gujarat
Gas Agency 387,Utilities,Indore,Madhya Pradesh
Fortis 388,Hospital,Gurgaon,Haryana
MakeMyTrip 389,Travel,Patna,Bihar
INOX 390,Entertainment,Bengaluru,Karnataka
Gas Agency 391,Utilities,Patna,Bihar
Croma 392,Electronics,Delhi,Delhi
Vijay Sales 393,Electronics,Ahmedabad,Gujarat
HP Petrol Pump 394,Fuel,Delhi,Delhi
D-Mart 395,Supermarket,Patna,Bihar
Wellness Forever 396,Pharmacy,Chennai,Tamil Nadu
Starbucks 397,Cafe,Gurgaon,Haryana
MedPlus 398,Pharmacy,Chennai,Tamil Nadu
Big Bazaar 399,Supermarket,Chennai,Tamil Nadu
McDonald's 400,Restaurant,Mumbai,Maharashtra
BookMyShow 401,Entertainment,Surat,Gujarat
Pantaloons 402,Fashion,Gurgaon,Haryana
MedPlus 403,Pharmacy,Indore,Madhya Pradesh
Electricity Board 404,Utilities,Patna,Bihar
Flipkart 405,Shopping,Bhopal,Madhya Pradesh
Reliance Digital 406,Electronics,Jaipur,Rajasthan
Max Hospital 407,Hospital,Delhi,Delhi
INOX 408,Entertainment,Lucknow,Uttar Pradesh
Meesho 409,Shopping,Bhopal,Madhya Pradesh
Reliance Fresh 410,Supermarket,Bhopal,Madhya Pradesh
Reliance Digital 411,Electronics,Lucknow,Uttar Pradesh
Cafe Coffee Day 412,Cafe,Chandigarh,Punjab
Pizza Hut 413,Restaurant,Surat,Gujarat
Apollo Pharmacy 414,Pharmacy,Jaipur,Rajasthan
Vijay Sales 415,Electronics,Bengaluru,Karnataka
Barista 416,Cafe,Delhi,Delhi
MakeMyTrip 417,Travel,Lucknow,Uttar Pradesh
Electricity Board 418,Utilities,Patna,Bihar
Flipkart 419,Shopping,Patna,Bihar
Indian Oil 420,Fuel,Chennai,Tamil Nadu
Wellness Forever 421,Pharmacy,Hyderabad,Telangana
KFC 422,Restaurant,Chandigarh,Punjab
Max Fashion 423,Fashion,Lucknow,Uttar Pradesh
Burger King 424,Restaurant,Kanpur,Uttar Pradesh
KFC 425,Restaurant,Jaipur,Rajasthan
Gas Agency 426,Utilities,Kochi,Kerala
Apollo Pharmacy 427,Pharmacy,Jaipur,Rajasthan
Pizza Hut 428,Restaurant,Mumbai,Maharashtra
D-Mart 429,Supermarket,Indore,Madhya Pradesh
Shell 430,Fuel,Jaipur,Rajasthan
BookMyShow 431,Entertainment,Chennai,Tamil Nadu
IRCTC 432,Travel,Delhi,Delhi
Fortis 433,Hospital,Lucknow,Uttar Pradesh
Gas Agency 434,Utilities,Kochi,Kerala
Max Fashion 435,Fashion,Lucknow,Uttar Pradesh
Barista 436,Cafe,Patna,Bihar
Zudio 437,Fashion,Jaipur,Rajasthan
Apollo Pharmacy 438,Pharmacy,Kolkata,West Bengal
McDonald's 439,Restaurant,Hyderabad,Telangana
Reliance Digital 440,Electronics,Bengaluru,Karnataka
Big Bazaar 441,Supermarket,Kolkata,West Bengal
Lifestyle 442,Fashion,Chandigarh,Punjab
Cafe Coffee Day 443,Cafe,Jaipur,Rajasthan
Amazon 444,Shopping,Delhi,Delhi
Big Bazaar 445,Supermarket,Surat,Gujarat
IRCTC 446,Travel,Kolkata,West Bengal
Gas Agency 447,Utilities,Delhi,Delhi
Myntra 448,Shopping,Ahmedabad,Gujarat
IRCTC 449,Travel,Kolkata,West Bengal
Spencer's 450,Supermarket,Jaipur,Rajasthan
IRCTC 451,Travel,Bengaluru,Karnataka
Shell 452,Fuel,Jaipur,Rajasthan
Ajio 453,Shopping,Delhi,Delhi
Bharat Petroleum 454,Fuel,Kolkata,West Bengal
Wellness Forever 455,Pharmacy,Indore,Madhya Pradesh
Bharat Petroleum 456,Fuel,Kochi,Kerala
Pantaloons 457,Fashion,Noida,Uttar Pradesh
INOX 458,Entertainment,Bhopal,Madhya Pradesh
Reliance Digital 459,Electronics,Indore,Madhya Pradesh
BookMyShow 460,Entertainment,Ahmedabad,Gujarat
Water Supply 461,Utilities,Chandigarh,Punjab
Gas Agency 462,Utilities,Chennai,Tamil Nadu
INOX 463,Entertainment,Noida,Uttar Pradesh
Reliance Digital 464,Electronics,Delhi,Delhi
BookMyShow 465,Entertainment,Pune,Maharashtra
Apollo Pharmacy 466,Pharmacy,Nagpur,Maharashtra
Electricity Board 467,Utilities,Delhi,Delhi
McDonald's 468,Restaurant,Patna,Bihar
Flipkart 469,Shopping,Gurgaon,Haryana
Pizza Hut 470,Restaurant,Gurgaon,Haryana
BookMyShow 471,Entertainment,Chandigarh,Punjab
Reliance Fresh 472,Supermarket,Kochi,Kerala
Electricity Board 473,Utilities,Patna,Bihar
Medanta 474,Hospital,Ahmedabad,Gujarat
Lifestyle 475,Fashion,Bengaluru,Karnataka
BookMyShow 476,Entertainment,Jaipur,Rajasthan
MedPlus 477,Pharmacy,Nagpur,Maharashtra
Big Bazaar 478,Supermarket,Chennai,Tamil Nadu
Vijay Sales 479,Electronics,Jaipur,Rajasthan
Spencer's 480,Supermarket,Chennai,Tamil Nadu
MedPlus 481,Pharmacy,Pune,Maharashtra
Apollo Pharmacy 482,Pharmacy,Delhi,Delhi
Flipkart 483,Shopping,Delhi,Delhi
Apollo Pharmacy 484,Pharmacy,Ahmedabad,Gujarat
Max Fashion 485,Fashion,Kanpur,Uttar Pradesh
Gas Agency 486,Utilities,Kochi,Kerala
Apollo Hospital 487,Hospital,Hyderabad,Telangana
Reliance Digital 488,Electronics,Ahmedabad,Gujarat
Apollo Pharmacy 489,Pharmacy,Kochi,Kerala
Gas Agency 490,Utilities,Kanpur,Uttar Pradesh
Apollo Hospital 491,Hospital,Delhi,Delhi
Pizza Hut 492,Restaurant,Chennai,Tamil Nadu
D-Mart 493,Supermarket,Pune,Maharashtra
Apollo Pharmacy 494,Pharmacy,Patna,Bihar
Reliance Digital 495,Electronics,Hyderabad,Telangana
Barista 496,Cafe,Ahmedabad,Gujarat
PVR 497,Entertainment,Jaipur,Rajasthan
Bharat Petroleum 498,Fuel,Mumbai,Maharashtra
McDonald's 499,Restaurant,Nagpur,Maharashtra
Reliance Digital 500,Electronics,Surat,Gujarat
Yatra 501,Travel,Hyderabad,Telangana
Ajio 502,Shopping,Jaipur,Rajasthan
D-Mart 503,Supermarket,Lucknow,Uttar Pradesh
Reliance Fresh 504,Supermarket,Kochi,Kerala
Burger King 505,Restaurant,Pune,Maharashtra
Wellness Forever 506,Pharmacy,Kanpur,Uttar Pradesh
Lifestyle 507,Fashion,Lucknow,Uttar Pradesh
Westside 508,Fashion,Bengaluru,Karnataka
Burger King 509,Restaurant,Jaipur,Rajasthan
IRCTC 510,Travel,Ahmedabad,Gujarat
Ajio 511,Shopping,Mumbai,Maharashtra
PVR 512,Entertainment,Ahmedabad,Gujarat
Vijay Sales 513,Electronics,Kolkata,West Bengal
Westside 514,Fashion,Pune,Maharashtra
Bharat Petroleum 515,Fuel,Nagpur,Maharashtra
McDonald's 516,Restaurant,Bhopal,Madhya Pradesh
Gas Agency 517,Utilities,Gurgaon,Haryana
Goibibo 518,Travel,Mumbai,Maharashtra
IRCTC 519,Travel,Pune,Maharashtra
Electricity Board 520,Utilities,Jaipur,Rajasthan
Reliance Digital 521,Electronics,Bengaluru,Karnataka
Pizza Hut 522,Restaurant,Bhopal,Madhya Pradesh
