fraud_id,transaction_id,fraud_type,risk_score,detected_date,investigation_status
155,285216,Account Takeover,79,2025-03-18,Resolved
156,99984,High Value Withdrawal,84,2025-06-20,Closed
157,480107,Account Takeover,96,2024-07-11,Closed
158,146915,Phishing,95,2025-12-19,Under Investigation
159,348909,Card Skimming,92,2024-09-28,Open
160,390977,Card Skimming,92,2025-07-06,Closed
161,239275,Account Takeover,84,2024-11-28,Under Investigation
162,77163,Card Skimming,67,2026-04-01,Open
163,146282,Suspicious Transfer,84,2025-08-13,Resolved
164,171614,Money Laundering,93,2024-10-02,Under Investigation
165,294450,International Fraud,90,2026-01-12,Resolved
166,107110,Duplicate Transaction,82,2025-10-07,Closed
167,499705,Money Laundering,64,2024-12-11,Closed
168,493610,Suspicious Transfer,84,2024-08-05,Open
169,214609,Money Laundering,94,2025-04-30,Open
170,400182,Duplicate Transaction,90,2026-01-16,Closed
171,240604,Money Laundering,88,2026-06-29,Under Investigation
172,362622,Fake Merchant,99,2024-09-20,Resolved
173,281360,Money Laundering,60,2025-05-09,Open
174,395082,Account Takeover,67,2025-12-10,Closed
175,30449,Suspicious Transfer,70,2026-01-06,Resolved
176,302758,Card Skimming,62,2024-10-27,Open
177,42405,High Value Withdrawal,88,2025-10-25,Resolved
178,161893,Card Skimming,82,2025-11-26,Under Investigation
179,121673,Duplicate Transaction,75,2025-11-13,Resolved
180,413446,High Value Withdrawal,99,2025-07-07,Resolved
181,55107,Duplicate Transaction,80,2026-06-28,Resolved
182,388308,Money Laundering,66,2025-08-29,Under Investigation
183,153078,Money Laundering,88,2024-08-01,Under Investigation
184,317430,Suspicious Transfer,75,2025-12-28,Resolved
185,285525,Identity Theft,85,2025-06-12,Closed
186,464488,Fake Merchant,69,2024-11-04,Closed
187,340595,Duplicate Transaction,71,2024-08-09,Under Investigation
188,56394,International Fraud,74,2026-03-14,Resolved
189,381475,Money Laundering,91,2025-07-05,Resolved
190,476599,High Value Withdrawal,100,2026-05-10,Resolved
191,102434,International Fraud,81,2026-02-08,Open
192,491415,Account Takeover,99,2024-08-07,Closed
193,32153,High Value Withdrawal,87,2024-12-02,Closed
194,174582,Money Laundering,93,2026-06-27,Closed
195,418888,Card Skimming,93,2025-01-11,Closed
196,372026,Identity Theft,81,2024-11-01,Resolved
197,109063,Duplicate Transaction,83,2024-09-13,Closed
198,167735,Phishing,97,2024-08-01,Under Investigation
199,311638,Identity Theft,67,2024-10-18,Open
200,473941,Fake Merchant,69,2024-12-13,Under Investigation
201,332257,Identity Theft,63,2025-11-12,Closed
202,250552,Fake Merchant,100,2024-09-10,Resolved
203,181441,Phishing,85,2024-10-05,Open
204,397164,Duplicate Transaction,91,2025-01-13,Closed
205,65631,Fake Merchant,97,2024-08-22,Resolved
206,438332,High Value Withdrawal,96,2025-12-18,Open
207,462416,International Fraud,69,2026-01-22,Open
208,478115,Card Skimming,89,2025-05-10,Open
209,372299,Duplicate Transaction,61,2024-07-30,Open
210,191771,High Value Withdrawal,95,2025-08-25,Open
211,320310,High Value Withdrawal,66,2025-05-29,Open
212,382958,Duplicate Transaction,87,2025-07-05,Open
213,469600,Money Laundering,60,2025-06-16,Resolved
214,14048,Card Skimming,89,2025-03-25,Under Investigation
215,91915,Card Skimming,86,2025-12-24,Open
216,334279,High Value Withdrawal,100,2025-06-19,Resolved
217,177831,Money Laundering,91,2025-08-12,Open
218,275298,Card Skimming,89,2024-11-29,Closed
219,363778,International Fraud,76,2025-10-16,Under Investigation
220,331920,Account Takeover,62,2025-09-25,Closed
221,169949,International Fraud,60,2026-04-28,Open
222,496218,Money Laundering,71,2025-01-13,Closed
223,388691,Card Skimming,71,2025-05-22,Closed
224,407867,Identity Theft,96,2024-10-22,Under Investigation
225,494576,Money Laundering,74,2026-04-04,Open
226,370059,Identity Theft,100,2024-12-11,Open
227,155494,High Value Withdrawal,81,2026-04-06,Open
228,237961,International Fraud,97,2025-05-18,Resolved
229,188287,International Fraud,72,2024-08-31,Open
230,134701,Account Takeover,97,2026-06-24,Resolved
231,60213,Card Skimming,82,2025-10-09,Closed
232,70334,Card Skimming,92,2025-01-26,Resolved
233,306704,Suspicious Transfer,81,2025-05-09,Resolved
234,362778,High Value Withdrawal,70,2026-04-22,Open
235,489162,High Value Withdrawal,89,2025-01-20,Closed
236,449871,Phishing,60,2026-04-16,Open
237,152507,Duplicate Transaction,93,2026-01-04,Resolved
238,199176,High Value Withdrawal,93,2024-09-13,Under Investigation
239,494282,Fake Merchant,63,2024-11-26,Under Investigation
240,49897,Phishing,96,2024-12-25,Open
241,421454,Duplicate Transaction,95,2024-08-07,Open
242,391915,Money Laundering,93,2025-05-01,Closed
243,33502,Suspicious Transfer,100,2025-01-28,Open
244,479638,Duplicate Transaction,74,2024-07-04,Under Investigation
245,168212,Fake Merchant,66,2025-01-28,Open
246,99517,Fake Merchant,100,2026-03-12,Open
247,118986,Fake Merchant,70,2025-02-23,Closed
248,318330,Fake Merchant,88,2024-07-31,Closed
249,147080,Fake Merchant,97,2026-06-29,Resolved
250,288755,Fake Merchant,64,2024-07-22,Resolved
251,409388,Duplicate Transaction,84,2026-04-01,Under Investigation
252,169321,Phishing,94,2025-09-08,Under Investigation
253,156464,Phishing,93,2025-02-15,Open
254,389776,Duplicate Transaction,72,2024-12-29,Open
255,485287,International Fraud,85,2025-05-10,Closed
256,341701,High Value Withdrawal,62,2024-07-09,Resolved
257,283469,Duplicate Transaction,97,2025-11-21,Resolved
258,318653,Phishing,65,2024-09-02,Open
259,231384,Duplicate Transaction,71,2024-12-19,Closed
260,339200,Card Skimming,96,2025-02-18,Closed
261,100715,Money Laundering,66,2025-11-14,Closed
262,220572,Card Skimming,100,2025-11-13,Closed
263,162649,Suspicious Transfer,94,2026-01-16,Open
264,137965,Money Laundering,69,2025-10-31,Open
265,110660,International Fraud,88,2024-07-19,Under Investigation
266,469066,Card Skimming,95,2026-04-25,Open
267,209388,International Fraud,80,2024-09-07,Open
268,217,Account Takeover,71,2026-03-31,Resolved
269,312704,Suspicious Transfer,97,2025-09-29,Open
270,175431,Money Laundering,84,2025-04-01,Resolved
271,471461,Card Skimming,71,2025-03-10,Resolved
272,55258,Duplicate Transaction,78,2025-12-07,Resolved
273,489519,Fake Merchant,85,2026-05-25,Resolved
274,18268,Identity Theft,92,2025-06-12,Open
275,383258,Suspicious Transfer,80,2024-07-28,Closed
276,278588,Fake Merchant,66,2026-01-18,Open
277,101950,Identity Theft,100,2026-02-20,Under Investigation
278,28094,High Value Withdrawal,71,2024-11-22,Open
279,162416,Card Skimming,75,2026-06-04,Open
280,216663,International Fraud,85,2024-09-05,Closed
281,100395,International Fraud,95,2024-07-19,Resolved
282,255521,Fake Merchant,68,2025-12-22,Closed
283,138253,Account Takeover,93,2025-10-24,Open
284,352425,Card Skimming,73,2026-04-25,Resolved
285,13406,Account Takeover,70,2025-04-01,Open
286,406885,Duplicate Transaction,84,2026-04-20,Under Investigation
287,254132,Suspicious Transfer,81,2026-03-15,Under Investigation
288,368738,International Fraud,72,2025-09-05,Resolved
289,478493,Money Laundering,70,2024-10-21,Resolved
290,280827,Account Takeover,89,2024-11-02,Open
291,207117,Fake Merchant,91,2026-05-24,Closed
292,226556,Account Takeover,70,2025-12-25,Under Investigation
293,312993,Fake Merchant,64,2024-07-04,Resolved
294,44063,Suspicious Transfer,86,2025-12-14,Closed
295,93907,Fake Merchant,68,2026-01-24,Open
296,370894,High Value Withdrawal,94,2024-07-12,Resolved
297,79522,High Value Withdrawal,99,2025-12-30,Open
298,111647,Identity Theft,92,2025-03-07,Open
299,58203,Identity Theft,60,2025-07-31,Closed
300,98768,Money Laundering,88,2025-05-05,Closed
301,411521,Duplicate Transaction,74,2024-11-14,Resolved
302,417707,International Fraud,79,2025-04-23,Resolved
303,265615,Identity Theft,98,2025-04-24,Open
304,256406,Suspicious Transfer,66,2026-01-18,Closed
305,137596,International Fraud,69,2025-06-13,Open
306,396975,Identity Theft,95,2024-11-30,Closed
307,322039,Identity Theft,100,2024-12-14,Resolved
308,408215,Phishing,77,2026-06-08,Resolved
309,497234,Card Skimming,71,2024-11-04,Open
310,191600,International Fraud,95,2025-10-11,Under Investigation
311,46579,High Value Withdrawal,86,2026-04-17,Resolved
312,105753,Phishing,94,2025-09-22,Resolved
313,15977,Suspicious Transfer,95,2025-09-01,Closed
314,45668,Fake Merchant,92,2026-06-19,Closed
315,183651,Phishing,60,2025-01-28,Under Investigation
316,81057,Card Skimming,76,2024-08-27,Under Investigation
317,491047,Suspicious Transfer,61,2025-10-30,Resolved
318,29825,Suspicious Transfer,100,2025-06-22,Resolved
319,260848,Phishing,63,2025-11-05,Resolved
320,84546,Identity Theft,100,2026-02-01,Closed
321,214964,Fake Merchant,97,2024-10-15,Under Investigation
322,493027,Money Laundering,71,2025-06-06,Open
323,173131,Suspicious Transfer,64,2025-09-29,Under Investigation
324,72319,Suspicious Transfer,79,2026-04-27,Under Investigation
325,141136,Suspicious Transfer,88,2025-09-28,Under Investigation
326,350069,Card Skimming,99,2025-07-28,Open
327,478926,Phishing,73,2024-09-26,Closed
328,84990,Account Takeover,63,2025-11-20,Resolved
329,45903,High Value Withdrawal,72,2025-02-20,Open
330,122738,Suspicious Transfer,63,2024-10-07,Closed
331,495657,Card Skimming,62,2026-05-03,Closed
332,7459,Fake Merchant,98,2024-09-26,Under Investigation
333,242433,Fake Merchant,63,2025-09-24,Under Investigation
334,205487,Identity Theft,95,2025-10-23,Under Investigation
335,238169,Suspicious Transfer,79,2024-12-22,Under Investigation
336,235029,Phishing,66,2024-08-07,Resolved
337,185248,Fake Merchant,85,2025-05-03,Resolved
338,220416,High Value Withdrawal,74,2026-03-18,Under Investigation
339,238358,Account Takeover,84,2025-06-23,Open
340,268672,High Value Withdrawal,87,2025-05-31,Resolved
341,430035,Suspicious Transfer,63,2026-01-03,Resolved
342,97081,High Value Withdrawal,70,2025-03-31,Under Investigation
343,50231,High Value Withdrawal,73,2026-05-01,Open
344,498537,Card Skimming,66,2024-09-07,Closed
345,57824,Money Laundering,73,2024-08-24,Under Investigation
346,205559,Phishing,92,2024-08-07,Resolved
347,58510,Money Laundering,72,2026-06-07,Open
348,115134,Money Laundering,73,2025-06-09,Open
349,347960,Fake Merchant,60,2025-05-21,Closed
350,280594,Fake Merchant,61,2024-07-17,Resolved
351,167318,Money Laundering,81,2025-09-14,Open
352,477077,Account Takeover,87,2024-10-29,Under Investigation
353,55534,Fake Merchant,81,2025-07-10,Resolved
354,374067,Money Laundering,95,2024-09-22,Resolved
355,75286,Card Skimming,100,2025-12-19,Resolved
356,364692,Money Laundering,84,2024-09-08,Closed
357,88938,Card Skimming,71,2025-02-15,Closed
358,14997,Duplicate Transaction,89,2025-10-30,Resolved
359,54755,Identity Theft,88,2025-12-06,Open
360,96517,Identity Theft,84,2024-09-14,Resolved
361,136460,Identity Theft,76,2025-09-06,Resolved
362,67861,International Fraud,65,2025-09-15,Under Investigation
363,78601,International Fraud,62,2026-04-12,Under Investigation
364,32534,Money Laundering,67,2024-10-24,Closed
365,444450,Account Takeover,72,2024-10-19,Closed
366,410043,Suspicious Transfer,62,2026-02-11,Under Investigation
367,261867,Money Laundering,67,2025-09-05,Open
368,387341,Duplicate Transaction,97,2025-09-28,Closed
369,368058,High Value Withdrawal,78,2024-10-23,Open
370,63442,International Fraud,99,2024-11-11,Open
371,172191,Money Laundering,77,2026-07-01,Resolved
372,35937,Phishing,77,2025-04-06,Open
373,325600,Suspicious Transfer,61,2026-01-25,Open
374,353802,Card Skimming,81,2025-09-14,Under Investigation
375,146186,Account Takeover,77,2025-04-22,Under Investigation
376,387208,International Fraud,97,2026-01-08,Open
377,495927,Card Skimming,93,2026-05-23,Under Investigation
378,140300,Money Laundering,96,2026-01-19,Closed
379,453663,International Fraud,78,2024-09-20,Under Investigation
380,315893,Account Takeover,91,2025-11-15,Resolved
381,2665,Money Laundering,79,2026-04-10,Open
382,230297,Suspicious Transfer,66,2025-07-13,Closed
383,458549,Phishing,82,2026-04-17,Resolved
384,430802,Phishing,63,2025-03-09,Resolved
385,70145,Suspicious Transfer,91,2024-09-30,Under Investigation
386,206157,International Fraud,71,2025-12-07,Closed
387,277660,Money Laundering,87,2026-06-12,Open
388,354526,Card Skimming,63,2026-05-21,Resolved
389,392806,Account Takeover,98,2026-03-02,Open
390,166104,Suspicious Transfer,96,2025-07-03,Open
391,340401,Account Takeover,83,2026-06-12,Under Investigation
392,193403,International Fraud,67,2026-04-11,Under Investigation
393,303241,Card Skimming,92,2025-02-05,Resolved
394,127637,International Fraud,98,2024-12-25,Open
395,467054,Phishing,74,2026-01-26,Closed
396,379922,Money Laundering,85,2026-02-19,Closed
397,194470,Card Skimming,74,2026-02-27,Resolved
398,269236,Suspicious Transfer,77,2026-06-23,Resolved
399,30042,Suspicious Transfer,82,2025-03-29,Closed
400,335105,Card Skimming,91,2024-12-26,Closed
401,116742,Fake Merchant,83,2024-07-29,Resolved
402,437228,Duplicate Transaction,99,2026-06-12,Under Investigation
403,69233,Fake Merchant,96,2024-07-13,Under Investigation
404,282382,Money Laundering,90,2024-12-23,Resolved
405,21083,Money Laundering,62,2025-07-30,Under Investigation
406,249977,Money Laundering,69,2024-09-27,Resolved
407,325484,Card Skimming,62,2025-08-31,Open
408,254592,Fake Merchant,86,2024-09-09,Closed
409,424753,Identity Theft,92,2024-10-07,Open
410,190636,Identity Theft,92,2025-07-01,Open
411,53414,Identity Theft,94,2025-11-04,Under Investigation
412,107476,Account Takeover,94,2026-05-20,Closed
413,211166,Identity Theft,88,2024-08-11,Under Investigation
414,497297,Phishing,92,2026-01-25,Resolved
415,145358,Money Laundering,78,2025-07-08,Resolved
416,412937,Card Skimming,81,2025-03-30,Under Investigation
417,405935,Duplicate Transaction,98,2025-08-02,Resolved
418,432356,Card Skimming,99,2025-07-07,Under Investigation
419,240008,Money Laundering,86,2024-12-07,Under Investigation
420,151749,Money Laundering,73,2025-07-19,Open
421,399263,Account Takeover,74,2024-08-07,Open
422,495775,Money Laundering,60,2026-06-03,Under Investigation
423,416774,Fake Merchant,94,2025-12-05,Open
424,405065,Phishing,80,2026-04-25,Closed
425,436108,Identity Theft,78,2025-07-30,Under Investigation
426,125014,High Value Withdrawal,99,2025-10-01,Open
427,17459,Card Skimming,67,2025-01-16,Under Investigation
428,372406,Suspicious Transfer,63,2024-07-24,Open
429,179506,Identity Theft,78,2025-10-14,Open
430,181074,Account Takeover,80,2025-08-14,Closed
431,129419,Phishing,70,2025-08-13,Under Investigation
432,191729,Identity Theft,77,2026-03-26,Under Investigation
433,267002,Duplicate Transaction,60,2026-02-17,Open
434,120270,Fake Merchant,100,2024-09-22,Resolved
435,444493,Duplicate Transaction,79,2025-12-18,Closed
436,480694,International Fraud,76,2024-11-21,Open
437,33624,Account Takeover,84,2024-08-01,Resolved
438,289012,Card Skimming,66,2026-06-26,Resolved
439,303109,Card Skimming,70,2025-09-24,Open
440,10166,High Value Withdrawal,69,2026-01-02,Resolved
441,119026,International Fraud,91,2024-12-29,Under Investigation
442,371906,Money Laundering,89,2025-06-26,Closed
443,462936,Phishing,66,2025-12-23,Resolved
444,471502,International Fraud,63,2024-07-10,Under Investigation
445,97383,Account Takeover,86,2024-09-28,Open
446,477986,Suspicious Transfer,71,2024-12-22,Resolved
447,362490,Suspicious Transfer,88,2025-04-13,Closed
448,317278,Identity Theft,74,2026-05-16,Resolved
449,46627,Duplicate Transaction,67,2025-03-08,Closed
450,402399,Fake Merchant,100,2024-10-03,Closed
451,377428,Card Skimming,98,2025-11-01,Open
452,332108,Identity Theft,64,2025-02-20,Resolved
453,277647,Duplicate Transaction,79,2024-09-20,Open
454,331646,Phishing,68,2025-02-24,Closed
455,426837,Card Skimming,90,2025-02-23,Under Investigation
456,295144,Money Laundering,74,2026-05-17,Open
457,264928,Money Laundering,96,2026-05-06,Open
458,14780,Identity Theft,74,2025-12-24,Resolved
459,471866,High Value Withdrawal,87,2025-06-06,Closed
460,162503,High Value Withdrawal,82,2026-06-27,Open
461,433982,Fake Merchant,65,2025-10-27,Resolved
462,51194,Phishing,99,2024-11-28,Open
463,321206,Money Laundering,72,2025-03-11,Open
464,411538,Suspicious Transfer,75,2024-09-08,Closed
465,425852,High Value Withdrawal,82,2024-10-31,Closed
466,472971,Phishing,92,2025-03-25,Closed
467,214381,Account Takeover,66,2025-10-08,Closed
468,285391,Fake Merchant,73,2026-02-17,Resolved
469,405050,Duplicate Transaction,79,2025-11-16,Resolved
470,109021,Card Skimming,96,2025-10-25,Under Investigation
471,444796,Money Laundering,79,2024-10-29,Under Investigation
472,394157,Account Takeover,72,2026-06-28,Open
473,321487,High Value Withdrawal,73,2024-11-28,Closed
474,13915,Suspicious Transfer,62,2026-01-06,Under Investigation
475,104436,Money Laundering,92,2025-05-27,Open
476,88682,Identity Theft,71,2024-09-03,Open
477,271276,Money Laundering,83,2024-09-08,Resolved
478,446821,Suspicious Transfer,66,2025-03-03,Closed
479,34043,Suspicious Transfer,66,2025-10-14,Open
480,283353,Fake Merchant,99,2024-12-07,Resolved
481,285109,High Value Withdrawal,62,2025-03-03,Closed
482,5830,High Value Withdrawal,81,2025-01-25,Open
483,293683,Identity Theft,75,2024-10-28,Closed
484,424106,Fake Merchant,100,2025-12-01,Resolved
485,273176,Suspicious Transfer,67,2024-09-26,Closed
486,252281,Account Takeover,85,2025-06-11,Resolved
487,369444,Fake Merchant,62,2026-06-24,Closed
488,269332,Phishing,80,2026-02-09,Under Investigation
489,322937,High Value Withdrawal,81,2026-06-04,Closed
490,353454,International Fraud,62,2024-07-14,Resolved
491,479367,Money Laundering,60,2024-12-07,Resolved
492,40991,Duplicate Transaction,61,2026-06-07,Open
493,198654,Card Skimming,82,2025-08-09,Under Investigation
494,166845,International Fraud,69,2024-11-05,Open
495,419050,Suspicious Transfer,87,2025-07-03,Resolved
496,184586,Card Skimming,87,2026-01-29,Resolved
497,402063,Fake Merchant,86,2025-10-10,Under Investigation
498,284260,Duplicate Transaction,66,2026-04-18,Under Investigation
499,235094,Card Skimming,62,2025-11-24,Resolved
500,83205,High Value Withdrawal,68,2024-08-03,Closed
501,180612,International Fraud,91,2026-04-10,Under Investigation
502,37061,Card Skimming,70,2025-08-27,Closed
503,7068,Account Takeover,87,2025-06-09,Open
504,57815,Card Skimming,60,2025-03-31,Resolved
505,259578,Duplicate Transaction,66,2024-07-07,Resolved
506,93317,Account Takeover,96,2024-09-04,Under Investigation
507,28771,High Value Withdrawal,67,2025-07-23,Open
508,98319,Phishing,67,2024-08-18,Under Investigation
509,376380,International Fraud,73,2025-05-28,Under Investigation
510,80184,Money Laundering,86,2025-04-24,Under Investigation
511,424957,Card Skimming,70,2024-10-30,Resolved
512,481433,High Value Withdrawal,76,2024-11-29,Closed
513,345110,Card Skimming,84,2025-06-05,Resolved
514,289280,Duplicate Transaction,74,2024-11-19,Resolved
515,170537,Account Takeover,79,2024-12-08,Resolved
516,23685,Duplicate Transaction,71,2025-01-24,Resolved
517,318216,International Fraud,97,2025-01-14,Open
518,121212,Money Laundering,78,2024-12-17,Resolved
519,255128,Account Takeover,78,2025-02-15,Open
520,17991,Fake Merchant,84,2025-05-08,Resolved
521,290499,International Fraud,69,2026-06-02,Closed
522,204575,International Fraud,84,2026-06-08,Closed
523,35148,Phishing,73,2025-05-02,Closed
524,71241,Suspicious Transfer,79,2025-01-19,Open
525,485707,Phishing,81,2025-03-18,Under Investigation
526,340851,Identity Theft,78,2024-07-23,Closed
527,97275,Phishing,79,2026-01-17,Resolved
528,299029,Fake Merchant,63,2025-01-24,Open
529,399293,Identity Theft,82,2025-01-05,Resolved
